facility_id,facility_name,state,hospital_type,hospital_ownership,emergency_services,hospital_overall_rating,COMP_HIP_KNEE,MORT_30_AMI,MORT_30_HF,MORT_30_PN,H_CLEAN_HSP_A_P,H_COMP_1_A_P,H_COMP_2_A_P,H_COMP_5_A_P,H_COMP_6_Y_P,H_HSP_RATING_9_10,H_QUIET_HSP_A_P,H_RECMND_DY,READM_30_AMI,READM_30_HF,READM_30_PN,composite_satisfaction_score,performance_tier,satisfaction_tier,IMM_3,OP_18a,OP_18b,OP_22,OP_23,avg_er_wait_minutes,er_inefficiency_flag
134009,LIFEWAYS HOSPITAL,ID,Psychiatric,Voluntary non-profit - Private,No,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,,,,,,,0
134010,STATE HOSPITAL SOUTH,ID,Psychiatric,Government - State,No,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,,,,,,,0
134017,COTTONWOOD CREEK BEHAVIORAL HOSPITAL,ID,Psychiatric,Proprietary,No,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,,,,,,,0
140001,GRAHAM HOSPITAL ASSOCIATION,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.4,12.1,14.4,20.6,72.0,77.0,80.0,53.0,85.0,67.0,48.0,63.0,13.6,20.3,15.5,68.12,Average,Medium,98.0,128.0,124.0,2.0,80.0,124.0,0
140002,ALTON MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,4.3,10.3,11.3,15.9,69.0,82.0,83.0,60.0,89.0,73.0,59.0,75.0,13.6,22.1,17.6,73.75,High Performer,Medium,93.0,202.0,194.0,3.0,92.0,194.0,0
140007,SAINT JOSEPH MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1.0,3.8,12.3,11.5,14.9,56.0,68.0,68.0,45.0,80.0,51.0,58.0,49.0,14.2,20.6,16.4,59.38,Low Performer,Low,68.0,210.0,204.0,,,204.0,0
140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.2,10.2,16.4,70.0,78.0,78.0,56.0,82.0,66.0,58.0,62.0,14.9,20.4,17.4,68.75,Average,Medium,91.0,217.0,210.0,2.0,,210.0,0
140010,NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5.0,2.4,9.9,8.2,12.1,70.0,77.0,77.0,56.0,88.0,68.0,60.0,70.0,13.4,20.7,16.6,70.75,High Performer,Medium,87.0,269.0,265.0,10.0,38.0,265.0,0
140011,HERRIN HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,4.9,13.8,11.8,18.5,78.0,75.0,76.0,56.0,83.0,70.0,57.0,71.0,13.6,19.8,17.2,70.75,Low Performer,Medium,98.0,184.0,171.0,2.0,100.0,171.0,0
140012,OSF SAINT KATHARINE MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,3.5,12.7,14.0,17.7,80.0,75.0,74.0,54.0,84.0,66.0,56.0,64.0,13.3,20.2,16.0,69.12,Low Performer,Medium,64.0,181.0,175.0,2.0,74.0,175.0,0
140013,CARLE HEALTH PROCTOR HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.7,13.3,16.6,54.0,74.0,75.0,53.0,84.0,59.0,42.0,61.0,13.6,19.2,15.3,62.75,Average,Medium,83.0,152.0,151.0,1.0,,151.0,0
140015,BLESSING HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,3.8,11.2,12.2,17.4,75.0,79.0,76.0,57.0,89.0,71.0,57.0,68.0,12.9,18.8,15.7,71.5,High Performer,Medium,97.0,164.0,161.0,1.0,85.0,161.0,0
140018,MT SINAI HOSPITAL MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,3.5,12.1,9.9,15.3,54.0,68.0,72.0,52.0,76.0,54.0,46.0,47.0,13.3,19.4,16.3,58.62,Low Performer,Low,98.0,210.0,200.0,1.0,69.0,200.0,0
140029,COPLEY MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,3.2,11.5,9.8,15.4,66.0,79.0,78.0,57.0,88.0,68.0,48.0,69.0,14.2,18.8,15.4,69.12,High Performer,Medium,94.0,196.0,192.0,3.0,78.0,192.0,0
140030,ADVOCATE SHERMAN HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,3.5,11.6,8.2,13.6,79.0,80.0,77.0,61.0,91.0,73.0,58.0,74.0,14.3,20.3,16.6,74.12,High Performer,Medium,86.0,198.0,194.0,1.0,76.0,194.0,0
140032,ST ANTHONYS MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.5,13.3,13.3,18.1,74.0,83.0,80.0,67.0,89.0,73.0,63.0,67.0,13.6,20.9,16.3,74.5,Average,Medium,77.0,141.0,137.0,0.0,86.0,137.0,0
140034,SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.5,12.1,13.9,16.6,74.0,83.0,79.0,63.0,86.0,69.0,61.0,61.0,13.6,18.8,17.7,72.0,Average,Medium,73.0,176.0,167.0,2.0,,167.0,0
14003F,JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM,IL,Acute Care - Veterans Administration,Veterans Health Administration,Yes,4.0,3.6,10.7,5.2,9.8,71.0,78.0,81.0,59.0,88.0,69.0,60.0,69.0,14.7,21.1,16.2,71.88,High Performer,Medium,,,,,,,0
140043,CGH MEDICAL CENTER,IL,Acute Care Hospitals,Government - Local,Yes,1.0,2.9,13.2,15.1,26.0,74.0,81.0,79.0,61.0,85.0,71.0,58.0,65.0,15.2,20.6,17.3,71.75,Low Performer,Medium,87.0,205.0,198.0,2.0,75.0,198.0,0
140046,GOOD SAMARITAN REGIONAL HLTH CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,2.4,10.4,11.0,15.8,68.0,78.0,74.0,62.0,86.0,70.0,59.0,67.0,15.0,19.9,16.0,70.5,High Performer,Medium,71.0,205.0,198.0,2.0,,198.0,0
140048,ADVOCATE TRINITY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,3.8,9.4,8.2,14.0,65.0,74.0,77.0,56.0,85.0,60.0,58.0,56.0,13.5,20.6,17.3,66.38,Low Performer,Medium,82.0,247.0,244.0,7.0,81.0,244.0,0
140049,WEST SUBURBAN MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Other,No,1.0,3.5,12.1,11.1,14.3,66.0,66.0,71.0,50.0,76.0,52.0,57.0,48.0,13.6,21.6,16.1,60.75,Low Performer,Medium,33.0,278.0,271.0,5.0,,271.0,0
14004F,VA ILLIANA HEALTHCARE SYSTEM - DANVILLE,IL,Acute Care - Veterans Administration,Veterans Health Administration,No,3.0,3.5,12.1,11.5,14.2,79.0,87.0,84.0,85.0,96.0,82.0,74.0,73.0,13.6,19.6,14.9,82.5,Average,High,,,,,,,0
140052,OSF SAINT ANTHONY'S HEALTH CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,No,4.0,3.5,11.5,11.7,18.3,76.0,82.0,77.0,64.0,85.0,76.0,51.0,76.0,13.9,20.1,15.2,73.38,High Performer,Medium,86.0,167.0,160.0,3.0,,160.0,0
140053,ST JOHNS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,3.5,12.5,11.6,19.3,56.0,73.0,75.0,50.0,85.0,63.0,55.0,63.0,12.8,20.0,14.9,65.0,Low Performer,Medium,70.0,162.0,162.0,2.0,,162.0,0
140054,MACNEAL  HOSPITAL,IL,Acute Care Hospitals,Proprietary,Yes,3.0,3.5,12.6,12.8,14.6,65.0,74.0,74.0,53.0,81.0,61.0,51.0,58.0,14.6,21.0,16.6,64.62,Average,Medium,93.0,212.0,208.0,0.0,77.0,208.0,0
140059,JERSEY COMMUNITY HOSPITAL,IL,Acute Care Hospitals,Government - Local,Yes,3.0,3.6,12.1,12.5,23.1,80.0,84.0,83.0,68.0,91.0,81.0,70.0,82.0,13.6,18.6,16.4,79.88,Average,High,81.0,132.0,126.0,0.0,,126.0,0
140062,PALOS COMMUNITY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,4.6,11.6,10.4,14.3,62.0,79.0,76.0,56.0,85.0,67.0,53.0,67.0,14.1,20.8,17.4,68.12,High Performer,Medium,92.0,253.0,253.0,3.0,65.0,253.0,0
140063,RUSH OAK PARK HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,3.5,12.3,7.5,11.0,60.0,77.0,77.0,57.0,78.0,60.0,52.0,64.0,13.6,19.9,16.8,65.62,High Performer,Medium,96.0,233.0,231.0,6.0,79.0,231.0,0
140064,ST MARY MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,3.5,12.8,11.4,18.8,61.0,75.0,77.0,56.0,86.0,64.0,50.0,62.0,13.6,21.3,16.4,66.38,Low Performer,Medium,84.0,202.0,186.0,4.0,68.0,186.0,0
140065,UCHICAGO MEDICINE ADVENTHEALTH LA GRANGE,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5.0,3.7,11.0,9.6,15.9,76.0,82.0,79.0,65.0,88.0,75.0,66.0,73.0,12.9,18.5,15.9,75.5,High Performer,High,88.0,165.0,163.0,2.0,,163.0,0
140067,SAINT FRANCIS MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,3.9,11.1,12.6,18.5,56.0,75.0,74.0,54.0,87.0,63.0,43.0,65.0,13.5,19.4,17.9,64.62,Low Performer,Medium,81.0,285.0,278.0,4.0,,278.0,0
140068,ROSELAND COMMUNITY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,3.5,12.1,10.6,14.9,64.0,62.0,72.0,57.0,72.0,47.0,52.0,44.0,13.6,19.8,16.1,58.75,Low Performer,Low,98.0,249.0,244.0,8.0,,244.0,0
140077,TOUCHETTE REGIONAL HOSPITAL INC,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,98.0,129.0,126.0,2.0,,126.0,0
14007F,HINES VA MEDICAL CENTER,IL,Acute Care - Veterans Administration,Veterans Health Administration,Yes,3.0,4.5,10.4,8.4,12.3,70.0,81.0,81.0,67.0,87.0,73.0,55.0,76.0,15.9,19.9,16.8,73.75,Average,Medium,,,,,,,0
140080,SAINT FRANCIS HOSPITAL-EVANSTON,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,3.8,12.1,9.7,18.2,73.0,72.0,73.0,52.0,80.0,60.0,50.0,64.0,14.1,21.5,16.6,65.5,Low Performer,Medium,94.0,191.0,181.0,,,181.0,0
140082,LOUIS A WEISS MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Proprietary,Yes,1.0,5.3,11.8,8.7,14.9,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,12.9,20.5,16.9,72.88,Low Performer,Medium,41.0,221.0,212.0,5.0,,212.0,0
140083,LORETTO HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,20.1,15.9,72.88,Average,Medium,98.0,229.0,211.0,6.0,,211.0,0
140084,VISTA MEDICAL CENTER EAST,IL,Acute Care Hospitals,Proprietary,Yes,2.0,3.5,10.4,9.5,13.6,56.0,65.0,69.0,55.0,76.0,32.0,49.0,30.0,12.7,18.8,16.8,54.0,Low Performer,Low,72.0,198.0,191.0,5.0,,191.0,0
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,3.5,10.6,7.3,14.1,63.0,77.0,80.0,57.0,86.0,70.0,63.0,73.0,14.1,20.4,18.0,71.12,High Performer,Medium,94.0,302.0,286.0,12.0,,286.0,0
140089,MC DONOUGH DISTRICT HOSPITAL,IL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,3.5,12.1,15.7,17.3,71.0,74.0,78.0,62.0,90.0,68.0,54.0,58.0,13.6,19.5,19.0,69.38,Average,Medium,93.0,164.0,152.0,2.0,,152.0,0
14008F,MARION IL VA MEDICAL CENTER,IL,Acute Care - Veterans Administration,Veterans Health Administration,Yes,3.0,3.5,12.1,9.7,14.6,80.0,86.0,81.0,70.0,90.0,80.0,62.0,78.0,13.6,23.0,17.0,78.38,Average,High,,,,,,,0
140091,CARLE FOUNDATION HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,5.0,11.4,11.2,14.6,63.0,79.0,76.0,58.0,82.0,71.0,50.0,69.0,14.1,22.7,17.6,68.5,Low Performer,Medium,84.0,219.0,214.0,2.0,,214.0,0
140093,OSF SACRED HEART MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,3.6,12.0,11.6,18.8,67.0,77.0,73.0,55.0,81.0,58.0,55.0,54.0,13.6,22.1,15.7,65.0,Low Performer,Medium,64.0,192.0,188.0,3.0,95.0,188.0,0
140095,SAINT ANTHONY HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,3.5,12.1,11.5,16.2,68.0,74.0,77.0,58.0,83.0,71.0,49.0,69.0,13.6,20.1,15.9,68.62,Low Performer,Medium,99.0,198.0,191.0,4.0,,191.0,0
140100,"MIDWESTERN REGION MED CENTER, INC",IL,Acute Care Hospitals,Proprietary,Yes,4.0,3.5,12.1,11.5,16.2,86.0,90.0,88.0,68.0,92.0,87.0,75.0,89.0,13.6,19.6,15.9,84.38,High Performer,High,89.0,173.0,173.0,0.0,,173.0,0
140101,MORRIS HOSPITAL & HEALTHCARE CENTERS,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,3.5,11.5,10.4,16.0,76.0,80.0,78.0,58.0,91.0,76.0,55.0,77.0,12.4,20.9,16.5,73.88,High Performer,Medium,80.0,169.0,168.0,1.0,,168.0,0
140103,ST BERNARD HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1.0,3.5,12.1,12.4,12.9,71.0,74.0,77.0,63.0,83.0,49.0,64.0,44.0,13.6,20.5,15.8,65.62,Low Performer,Medium,97.0,255.0,232.0,14.0,,232.0,0
140110,OSF SAINT ELIZABETH MDL CTR,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,14.3,16.8,66.0,79.0,79.0,59.0,87.0,62.0,49.0,57.0,13.6,18.8,16.1,67.25,Average,Medium,81.0,146.0,135.0,3.0,69.0,135.0,0
140113,OSF HEART OF MARY MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.5,14.4,13.1,16.2,75.0,79.0,75.0,60.0,89.0,71.0,55.0,74.0,14.1,20.3,15.9,72.25,Average,Medium,64.0,136.0,130.0,1.0,,130.0,0
140114,SWEDISH HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.5,12.3,11.8,16.7,69.0,74.0,75.0,56.0,80.0,59.0,50.0,58.0,13.9,19.0,16.3,65.12,Average,Medium,89.0,265.0,252.0,8.0,,252.0,0
140115,THOREK MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,11.5,13.4,82.0,76.0,83.0,70.0,79.0,71.0,71.0,71.0,13.6,19.6,16.2,75.38,Average,High,68.0,251.0,177.0,10.0,,177.0,0
140116,NORTHWESTERN MEDICINE MCHENRY,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5.0,2.9,11.1,7.4,12.0,77.0,81.0,77.0,62.0,88.0,75.0,64.0,75.0,14.3,18.6,16.3,74.88,High Performer,Medium,90.0,197.0,191.0,2.0,92.0,191.0,0
140117,AMITA HEALTH RESURRECTION MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,2.9,12.1,10.0,14.8,66.0,70.0,74.0,50.0,82.0,60.0,52.0,67.0,13.8,17.5,15.9,65.12,Average,Medium,73.0,188.0,184.0,,,184.0,0
140119,RUSH UNIVERSITY MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,4.3,10.3,6.1,11.1,68.0,80.0,80.0,61.0,86.0,75.0,66.0,78.0,14.5,19.8,15.1,74.25,High Performer,Medium,98.0,355.0,358.0,9.0,,358.0,1
140120,CARLE HEALTH PEKIN HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,13.0,15.5,14.9,68.0,74.0,76.0,55.0,87.0,61.0,54.0,54.0,13.6,19.8,15.1,66.12,Average,Medium,82.0,106.0,106.0,1.0,92.0,106.0,0
140122,UCHICAGO MEDICINE ADVENTHEALTH HINSDALE,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,3.5,11.4,9.0,14.8,78.0,81.0,79.0,59.0,88.0,72.0,59.0,73.0,13.3,18.9,15.1,73.62,High Performer,Medium,87.0,204.0,200.0,2.0,,200.0,0
140124,JOHN H STROGER JR HOSPITAL,IL,Acute Care Hospitals,Government - Local,Yes,2.0,3.5,12.4,7.8,12.3,58.0,71.0,80.0,53.0,80.0,66.0,49.0,68.0,13.6,18.2,16.7,65.62,Low Performer,Medium,83.0,292.0,280.0,1.0,,280.0,0
140125,GATEWAY REGIONAL MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,3.5,12.1,12.6,21.5,54.0,67.0,73.0,55.0,81.0,41.0,49.0,38.0,13.6,19.3,16.0,57.25,Low Performer,Low,28.0,151.0,142.0,4.0,,142.0,0
140127,CARLE BROMENN MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,4.1,11.0,14.1,15.7,73.0,84.0,81.0,62.0,92.0,76.0,54.0,77.0,14.1,20.2,16.4,74.88,Average,Medium,89.0,204.0,196.0,3.0,,196.0,0
140130,NORTHWESTERN LAKE FOREST HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5.0,3.1,12.1,5.5,10.3,72.0,77.0,79.0,62.0,86.0,75.0,64.0,78.0,14.2,17.3,16.5,74.12,High Performer,Medium,95.0,219.0,220.0,3.0,,220.0,0
140133,HOLY CROSS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,3.5,12.1,7.9,17.8,60.0,66.0,67.0,56.0,76.0,49.0,46.0,46.0,13.6,19.5,15.9,58.25,Low Performer,Low,96.0,181.0,170.0,1.0,,170.0,0
140135,DECATUR MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3.0,3.5,12.4,12.0,17.6,62.0,72.0,73.0,51.0,82.0,62.0,54.0,58.0,12.9,19.3,13.8,64.25,Average,Medium,74.0,212.0,205.0,8.0,83.0,205.0,0
140137,HSHS HOLY FAMILY HOSPITAL INC,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.5,12.1,13.9,16.5,83.0,87.0,91.0,63.0,96.0,84.0,56.0,67.0,13.6,19.4,15.3,78.38,Average,High,67.0,113.0,106.0,0.0,,106.0,0
140145,ST JOSEPHS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,3.5,12.1,13.4,11.7,67.0,84.0,83.0,71.0,88.0,73.0,73.0,68.0,13.6,19.0,15.9,75.88,High Performer,High,75.0,138.0,130.0,0.0,77.0,130.0,0
140148,MEMORIAL MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.6,12.8,11.8,16.8,65.0,73.0,73.0,54.0,87.0,65.0,53.0,70.0,14.2,21.1,15.0,67.5,Average,Medium,74.0,246.0,246.0,3.0,,246.0,0
140150,UNIVERSITY OF ILLINOIS HOSPITAL AND CLINICS,IL,Acute Care Hospitals,Government - State,Yes,4.0,4.6,12.1,9.4,11.6,63.0,77.0,78.0,57.0,84.0,64.0,52.0,65.0,13.7,20.8,15.6,67.5,High Performer,Medium,97.0,332.0,319.0,4.0,,319.0,1
140155,PRESENCE ST MARYS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,3.3,12.2,12.1,16.0,67.0,72.0,75.0,57.0,82.0,64.0,57.0,69.0,12.2,18.8,14.0,67.88,High Performer,Medium,93.0,150.0,146.0,,,146.0,0
140158,INSIGHT HOSPITAL AND MEDICAL CENTER CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,3.5,12.1,11.3,13.3,65.0,68.0,74.0,55.0,76.0,47.0,58.0,51.0,13.6,20.1,16.3,61.75,Low Performer,Medium,81.0,175.0,167.0,5.0,,167.0,0
140160,FHN MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.3,13.6,15.3,70.0,82.0,80.0,62.0,89.0,70.0,60.0,63.0,13.2,17.9,14.6,72.0,Average,Medium,79.0,187.0,185.0,1.0,89.0,185.0,0
140161,SAINT JAMES HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,No,4.0,3.8,12.1,14.2,17.4,75.0,80.0,79.0,61.0,89.0,67.0,54.0,61.0,13.6,20.6,15.8,70.75,High Performer,Medium,87.0,136.0,130.0,1.0,,130.0,0
140162,ST JOSEPH MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2.0,3.7,12.6,12.5,19.9,63.0,77.0,75.0,58.0,85.0,65.0,54.0,65.0,13.6,21.8,16.6,67.75,Low Performer,Medium,89.0,206.0,198.0,1.0,,198.0,0
140164,MEMORIAL HOSPITAL OF CARBONDALE,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,3.5,13.1,11.5,17.1,76.0,76.0,77.0,53.0,81.0,67.0,54.0,64.0,14.6,21.4,16.5,68.5,Low Performer,Medium,95.0,171.0,168.0,5.0,,168.0,0
140166,ST MARYS HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,3.5,12.9,11.6,16.1,61.0,77.0,77.0,52.0,83.0,64.0,58.0,60.0,13.8,20.4,18.3,66.5,Low Performer,Medium,79.0,162.0,154.0,2.0,83.0,154.0,0
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.0,11.8,8.8,15.8,65.0,72.0,71.0,52.0,84.0,62.0,57.0,59.0,13.7,20.8,16.3,65.25,Average,Medium,75.0,244.0,230.0,1.0,68.0,230.0,0
140174,PRESENCE MERCY MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,11.4,11.0,17.0,71.0,72.0,67.0,52.0,82.0,62.0,54.0,58.0,14.3,21.6,15.9,64.75,Average,Medium,37.0,206.0,194.0,,83.0,194.0,0
140177,JACKSON PARK HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.0,3.5,12.1,10.7,16.0,62.0,50.0,56.0,58.0,71.0,32.0,44.0,29.0,13.6,20.4,15.9,50.25,Low Performer,Low,89.0,248.0,244.0,0.0,,244.0,0
140179,OSF LITTLE COMPANY OF MARY MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2.0,3.5,11.9,9.1,14.9,72.0,81.0,77.0,59.0,80.0,69.0,63.0,70.0,14.9,21.8,17.5,71.38,Low Performer,Medium,69.0,276.0,259.0,4.0,60.0,259.0,0
140180,PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3.0,3.5,12.2,10.9,13.2,65.0,74.0,78.0,53.0,82.0,65.0,57.0,67.0,15.1,21.0,15.0,67.62,Average,Medium,70.0,191.0,189.0,,,189.0,0
140181,SOUTH SHORE HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,11.5,17.1,62.0,66.0,68.0,50.0,62.0,47.0,55.0,31.0,13.6,19.6,16.9,55.12,Average,Low,85.0,236.0,235.0,7.0,,235.0,0
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.9,8.8,15.2,67.0,79.0,77.0,60.0,88.0,68.0,51.0,70.0,13.6,21.3,15.8,70.0,Average,Medium,84.0,239.0,236.0,2.0,,236.0,0
140184,HEARTLAND REGIONAL MEDICAL CENTER,IL,Acute Care Hospitals,Proprietary,Yes,2.0,3.5,12.7,14.4,19.7,73.0,80.0,80.0,63.0,85.0,69.0,54.0,68.0,13.3,21.6,17.2,71.5,Low Performer,Medium,74.0,166.0,162.0,2.0,93.0,162.0,0
140185,MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,3.9,9.7,9.7,13.2,69.0,80.0,79.0,60.0,89.0,73.0,66.0,75.0,14.2,19.3,16.0,73.88,High Performer,Medium,96.0,207.0,205.0,5.0,84.0,205.0,0
140186,RIVERSIDE MEDICAL CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,3.5,13.0,12.9,14.9,72.0,76.0,79.0,59.0,87.0,68.0,58.0,68.0,13.6,19.2,15.7,70.88,High Performer,Medium,96.0,174.0,168.0,0.0,69.0,168.0,0
140187,HSHS ST ELIZABETH'S HOSPITAL,IL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,3.7,13.4,10.8,13.8,59.0,81.0,81.0,63.0,89.0,79.0,68.0,79.0,13.8,20.0,14.8,74.88,High Performer,Medium,75.0,158.0,156.0,0.0,80.0,156.0,0
140189,SARAH BUSH LINCOLN HEALTH CENTER,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,4.3,13.9,12.7,14.6,72.0,82.0,80.0,63.0,89.0,76.0,57.0,73.0,12.7,19.5,14.9,74.0,Average,Medium,89.0,215.0,210.0,2.0,73.0,210.0,0
140191,INGALLS MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Physician,Yes,2.0,5.6,13.1,8.6,16.9,60.0,72.0,73.0,51.0,79.0,53.0,52.0,49.0,14.0,22.9,16.3,61.12,Low Performer,Medium,96.0,140.0,136.0,2.0,88.0,136.0,0
140197,METHODIST HOSPITAL OF CHICAGO,IL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,3.5,12.1,11.5,16.2,73.0,80.0,79.0,61.0,87.0,72.0,60.0,71.0,13.6,19.6,15.9,72.88,Average,Medium,69.0,330.0,179.0,1.0,,179.0,0
140200,ELMHURST MEMORIAL HOSPITAL,IL,Acute Care Hospitals,Proprietary,Yes,3.0,4.0,11.2,9.7,17.2,67.0,81.0,77.0,59.0,84.0,75.0,68.0,76.0,14.4,21.5,16.9,73.38,Average,Medium,94.0,171.0,168.0,1.0,64.0,168.0,0
